G1_11	115103686	115534686	20
G1_11	115543686	116003686	20
G1_11	116039686	116624686	20
G1_4	133602085	133836085	20
G1_4	136312085	136622085	20
G1_11	113177686	114619686	20
G1_4	132558085	133498085	20
G1_4	133984085	134930085	20
G1_11	116625686	117844686	20
G1_4	137678085	138301085	20
G1_4	134931085	135344085	20
G1_4	130963085	131825085	20
G1_4	131895085	132179085	20
G1_4	128640756	129131756	20
G1_11	98311686	98649686	20
G1_15	96516569	97637569	20
G1_4	126342756	126932756	20
G1_4	135465085	135806085	20
G1_17	24477055	24693055	20
G1_11	111568686	113164686	20
G1_4	147942891	148575891	20
G1_4	148713891	149073891	20
G1_11	97353686	97703686	20
G1_4	124718756	125077756	20
G1_4	136654085	137316085	20
G1_4	149147891	150090891	20
G1_4	138308085	141047085	20
G1_4	122915757	123268757	20
G1_11	97755686	98029686	20
G1_4	123301757	123733757	20
G1_4	118993395	119211395	20
G1_4	152001891	152489891	20
G1_4	127087756	127354756	20
G1_11	117852686	118967686	20
G1_11	98702686	99153686	20
G1_4	125169756	125958756	20
G1_4	123934757	124662756	20
G1_5	120149991	120433991	20
G1_15	95739569	96376569	20
G1_8	121545100	121948100	20
G1_4	127396756	128515756	20
G1_15	77773570	77965570	20
G1_4	119254395	119683395	20
G1_11	68918498	68990498	20
G1_15	97679569	98430569	20
G1_4	150654891	151820891	20
G1_17	25838055	26229055	20
G1_11	96272686	97147686	20
G1_11	75468498	75615498	20
G1_15	98583569	99936569	20
G1_5	118001991	118147991	20
G1_5	120514991	120758991	20
G1_5	120813991	121656991	20
G1_17	24750055	25822055	20
G1_4	117294395	118580395	20
G1_11	77680498	77967498	20
G1_5	117128991	117468991	20
G1_5	107917981	108171981	20
G1_11	95271686	96049686	20
G1_11	87974498	88242498	20
G1_11	86513498	87368498	20
G1_15	75559570	76882570	20
G1_5	111394980	113071980	20
G1_11	69635498	69909498	20
G1_11	94822686	95255686	20
G1_11	69178498	69550498	20
G1_8	120700100	121531100	20
G1_2	154413264	154595264	20
G1_5	115736991	117037991	20
G1_2	152671264	153584264	20
G1_5	118268991	118713991	20
G1_4	118626395	118980395	20
G1_4	116726395	117115395	20
G1_8	119427100	120603100	20
G1_4	119702395	120915395	20
G1_8	116921100	117560100	20
G1_11	101798686	102443686	20
G1_8	117646100	117899100	20
G1_11	100410686	101422686	20
G1_15	77021570	77355570	20
G1_2	156370264	157570264	20
G1_17	32130055	32445055	20
G1_2	30076480	30354480	20
G1_15	77977570	80058570	20
G1_5	110369981	110769981	20
G1_2	164950500	165729500	20
G1_5	110917981	111290980	20
G1_5	117533991	117953991	20
G1_11	78208498	78317498	20
G1_15	83135570	83525570	20
G1_5	121660991	122392991	20
G1_11	102469686	102665686	20
G1_8	70628101	70868101	20
G1_7	25618981	25818981	20
G1_11	80091498	80204498	20
G1_2	30480480	30936480	20
G1_2	163427264	164347264	20
G1_4	120970395	121162395	20
G1_2	164405500	164704500	20
G1_2	162938264	163401264	20
G1_15	73075570	73184570	20
G1_7	19022651	19114651	20
G1_5	129978130	130216130	20
G1_5	108234981	108661981	19
G1_2	29772480	30036480	19
G1_17	28374055	28927055	19
G1_12	108179790	108537790	19
G1_11	87598498	87915498	19
G1_5	134192130	135364130	19
G1_8	84696101	84807101	19
G1_7	28359981	28725981	19
G1_19	41857510	42134510	19
G1_5	122820991	123195991	19
G1_15	74525570	75091570	19
G1_2	151565264	152375264	19
G1_11	58955498	60508498	19
G1_11	75774498	77431498	19
G1_11	52233498	52346498	19
G1_17	27155055	27490055	19
G1_11	83770498	84793498	19
G1_8	117900100	119264100	19
G1_17	29050055	30931055	19
G1_5	136790130	137116130	19
G1_17	26303055	26878055	19
G1_2	154977264	156084264	19
G1_15	80310570	81301570	19
G1_2	25013480	25546480	19
G1_11	78574498	79903498	19
G1_11	70050498	70765498	19
G1_5	135400130	135857130	19
G1_4	106598395	108612395	19
G1_11	74969498	75453498	19
G1_5	122400991	122791991	19
G1_7	24666981	25599981	19
G1_5	118819991	119707991	19
G1_5	140471046	140700046	19
G1_11	53477498	53885498	19
G1_17	27647055	28360055	19
G1_15	73200570	73771570	19
G1_2	157627264	158336264	19
G1_11	84907498	86446498	19
G1_17	23977033	24375055	19
G1_5	132127130	133996130	19
G1_2	153689264	154256264	19
G1_11	74653498	74837498	19
G1_5	136299130	136725130	19
G1_8	106150100	107008100	19
G1_5	129062125	129581125	19
G1_11	51815498	52098498	19
G1_12	105034790	105778790	19
G1_11	80212498	80356498	19
G1_4	115762395	116004395	19
G1_12	104461790	105019790	19
G1_2	25656480	26570480	19
G1_4	116159395	116475395	19
G1_5	119783991	120095991	19
G1_2	160597264	160905264	19
G1_11	60732498	61739498	19
G1_9	59384193	59643193	19
G1_11	102747686	104213686	19
G1_2	26684480	28411480	19
G1_7	19136651	19866651	19
G1_8	71408101	71672101	19
G1_3	88382078	88741078	19
G1_8	69903101	70583101	19
G1_11	62456498	62544498	19
G1_15	81750570	82013570	19
G1_2	172370500	173550499	19
G1_9	104056670	104343670	19
G1_2	119060264	119635264	19
